Zengin mi?,Ejderhası var mı?,Tahtı istiyor mu?,Saç rengi,Ailesi
Hayır,Yok,İstemiyor,Sarı,Lannister
Evet,Var,İstiyor,Beyaz,Targaryen
Hayır,Yok,İstemiyor,Siyah,Stark
Evet,Yok,İstiyor,Sarı,Lannister
Hayır,Var,İstemiyor,Genel olarak Beyaz,White Walker
Evet,Yok,İstemiyor,Sarı,Lannister
Hayır,Yok,İstemiyor,Siyah,Stark
Evet,Yok,İstiyor,Sarı,Lannister
Hayır,Yok,İstemiyor,Kızıl,Stark
Hayır,Var,İstemiyor,Genel olarak Beyaz,White Walker
Hayır,Yok,İstiyor,Beyaz,Targaryen
Hayır,Yok,İstemiyor,Genel olarak Beyaz,White Walker
Hayır,Yok,İstemiyor,Siyah,Stark
