İL ADI,İLÇE ADI,SECMEN_SAYISI,OY_KULLANAN_SECMEN_SAYISI,GECERLI_OY_TOPLAMI,GECERSIZ_OY_TOPLAMI,ENLEM,BOYLAM,GECERSIZ_OY_ORAN
ADANA,ALADAĞ,12399,10956,10655,301,37.52174312903226,35.39780341935484,2.747353048557868
ADANA,CEYHAN,108965,92781,91140,1641,37.05739370535714,35.84178444642859,1.7686810877227017
ADANA,FEKE,12874,10350,10040,310,37.83652060869567,35.84533471739131,2.995169082125604
ADANA,KARATAŞ,15562,13529,13301,228,36.683676790697675,35.28917232558139,1.6852686820903244
ADANA,KARAİSALI,15942,14366,14053,313,37.26471654237288,35.143779101694925,2.178755394681888
ADANA,KOZAN,89987,73975,72226,1749,37.503986752475235,35.78119763366338,2.3643122676579926
ADANA,POZANTI,14517,12704,12406,298,37.50079933333334,34.908965999999985,2.3457178841309823
ADANA,SARIÇAM,92082,79212,77436,1776,37.09534948484847,35.45151190909092,2.242084532646569
ADANA,SAİMBEYLİ,11410,8938,8695,243,37.94086675,36.09183421428572,2.7187290221526066
ADANA,SEYHAN-1,121646,103367,101874,1493,37.0068499,35.3206512,1.4443681252237173
ADANA,SEYHAN-2,126736,110297,108332,1965,36.94551436111111,35.29035752777778,1.7815534420700472
ADANA,SEYHAN-3,148030,125643,123186,2457,37.01151060869566,35.24894726086957,1.9555406986461643
ADANA,SEYHAN-4,133246,110436,107992,2444,36.98145607999999,35.25882528,2.2130464703538704
ADANA,TUFANBEYLİ,13067,10679,10385,294,38.22514233333334,36.21018554545455,2.753066766551175
ADANA,YUMURTALIK,13408,11377,11154,223,36.78386025,35.713018208333345,1.9600949283642435
ADANA,YÜREĞİR-1,133301,109997,107278,2719,36.86998234615384,35.38998685897436,2.471885596879915
ADANA,YÜREĞİR-2,137869,115458,112856,2602,36.99182308695652,35.399140521739135,2.2536333558523447
ADANA,ÇUKUROVA-1,119816,103960,102680,1280,37.073469599999996,35.2727011,1.2312427856868027
ADANA,ÇUKUROVA-2,136322,118145,116388,1757,37.07435064705882,35.16104947058823,1.4871556138643194
ADANA,İMAMOĞLU,20149,16897,16437,460,37.284332333333346,35.61031714814815,2.722376753269811
ADIYAMAN,ADIYAMAN MERKEZ-1,146092,122527,119836,2691,37.76404887499999,38.270567312499985,2.196250622311817
ADIYAMAN,ADIYAMAN MERKEZ-2,35701,31189,30752,437,37.531319263565905,38.54829922480621,1.4011350155503544
ADIYAMAN,BESNİ,49660,39376,38318,1058,37.66537779166665,37.41123403125001,2.6869158878504673
ADIYAMAN,GERGER,12198,8262,8062,200,38.01011460869565,39.00061330434783,2.420721374969741
ADIYAMAN,GÖLBAŞI,32700,26824,26172,652,37.75944135714286,37.63451435714285,2.4306591112436626
ADIYAMAN,GÖLBAŞI,32700,26824,26172,652,39.6230332962963,32.78374479629629,2.4306591112436626
ANKARA-1,GÖLBAŞI,80117,71040,69557,1483,37.75944135714286,37.63451435714285,2.0875563063063063
ANKARA-1,GÖLBAŞI,80117,71040,69557,1483,39.6230332962963,32.78374479629629,2.0875563063063063
ADIYAMAN,KAHTA,70256,55701,54425,1276,37.79366169642856,38.6841395982143,2.290802678587458
ADIYAMAN,SAMSAT,5394,4228,4137,91,37.580641400000005,38.466201749999996,2.152317880794702
ADIYAMAN,SİNCİK,11398,10095,10014,81,38.033619517241384,38.57112006896551,0.8023774145616641
ADIYAMAN,TUT,6930,5818,5660,158,37.78928833333333,37.957996952380945,2.7157098659333103
ADIYAMAN,ÇELİKHAN,10416,9178,8949,229,38.036002583333335,38.290627458333326,2.495096971017651
AFYONKARAHİSAR,AFYONKARAHİSAR MERKEZ-1,90771,82946,81204,1742,38.77544333870967,30.574430709677436,2.10016155088853
AFYONKARAHİSAR,AFYONKARAHİSAR MERKEZ-2,91934,83366,81125,2241,38.75745388059701,30.569552313432837,2.688146246671305
AFYONKARAHİSAR,BAYAT,5730,4975,4740,235,38.97359593333333,30.919853999999997,4.723618090452261
AFYONKARAHİSAR,BAYAT,5730,4975,4740,235,40.648996795454536,34.20856288636363,4.723618090452261
ÇORUM,BAYAT,13663,11539,11254,285,38.97359593333333,30.919853999999997,2.4698847387121936
ÇORUM,BAYAT,13663,11539,11254,285,40.648996795454536,34.20856288636363,2.4698847387121936
AFYONKARAHİSAR,BAŞMAKÇI,8012,7125,6920,205,37.89707031818182,30.029097545454544,2.8771929824561404
AFYONKARAHİSAR,BOLVADİN,30963,27103,26290,813,38.74197606410259,31.050793423076918,2.9996679334391025
AFYONKARAHİSAR,DAZKIRI,8400,7646,7482,164,37.930847772727276,29.81807563636364,2.144912372482344
AFYONKARAHİSAR,DİNAR,34545,29610,28760,850,38.12665505,30.2283959,2.87065180682202
AFYONKARAHİSAR,EMİRDAĞ,28653,22316,21686,630,39.04361289655172,31.23767571264369,2.823086574654956
AFYONKARAHİSAR,EVCİLER,5731,5021,4901,120,38.04476523076923,29.924821846153844,2.3899621589324833
AFYONKARAHİSAR,HOCALAR,7583,6373,6127,246,38.58050527777779,29.950711388888887,3.8600345206339246
AFYONKARAHİSAR,KIZILÖREN,2134,1841,1750,91,38.25980716666667,30.186843166666666,4.942965779467681
AFYONKARAHİSAR,SANDIKLI,41450,35250,33972,1278,38.47138898550725,30.177643318840577,3.625531914893617
AFYONKARAHİSAR,SULTANDAĞI,12782,11275,10883,392,38.551750551724126,31.26733324137931,3.4767184035476717
AFYONKARAHİSAR,SİNANPAŞA,29975,26575,25520,1055,38.745602426229524,30.26615508196722,3.9698965192850424
AFYONKARAHİSAR,ÇAY,23578,20709,19910,799,38.54910204444443,30.950714288888904,3.858225892124197
AFYONKARAHİSAR,ÇOBANLAR,8624,7939,7710,229,38.7279784,30.825263599999996,2.884494268799597
AFYONKARAHİSAR,İHSANİYE,19582,18081,17516,565,39.03146822727273,30.47180013636364,3.124827166639013
AFYONKARAHİSAR,İSCEHİSAR,15747,14636,14242,394,38.88636795652174,30.767910956521742,2.691992347635966
AFYONKARAHİSAR,ŞUHUT,27571,24742,23857,885,38.47362416981132,30.578171396226416,3.576913749898957
AKSARAY,AKSARAY MERKEZ-1,91305,76597,74932,1665,38.3646144137931,34.02128510344828,2.173714375236628
AKSARAY,AKSARAY MERKEZ-2,91478,75823,74022,1801,38.4163663846154,34.01016894871793,2.3752687179351915
